user_id,username,age,gender,location,demographics
U0001,soundwave648,50,Female,"Auckland, New Zealand",teacher
U0002,hiphophead440,18,Non-binary,"Amsterdam, Netherlands",government employee
U0003,albumartist192,60,Male,"Austin, USA",marketing
U0004,rhythmking977,51,Male,"Dublin, Ireland",creative industry
U0005,beatmaster651,42,Non-binary,"Dubai, UAE",student
U0006,reggaeroots808,22,Non-binary,"Amsterdam, Netherlands",artist
U0007,kpopfanatic596,65,Non-binary,"Seoul, South Korea",professional
U0008,reggaeroots560,39,Female,"Sao Paulo, Brazil",retired
U0009,metalhead491,58,Female,"Seoul, South Korea",musician
U0010,folkfan795,47,Male,"Moscow, Russia",tech industry
U0011,beatmaster811,30,Male,"Rome, Italy",finance
U0012,headbanger408,70,Prefer not to say,"Dubai, UAE",professional
U0013,latinrhythm663,30,Non-binary,"Cairo, Egypt",professional
U0014,jazzmaster340,35,Male,"Bangkok, Thailand",entrepreneur
U0015,playlist_pro762,46,Prefer not to say,"Athens, Greece",healthcare worker
U0016,indiefan709,49,Non-binary,"Austin, USA",retail
U0017,songbird745,45,Male,"Helsinki, Finland",non-profit worker
U0018,groovemaster559,36,Non-binary,"Sydney, Australia",musician
U0019,folkie677,36,Non-binary,"Lisbon, Portugal",non-profit worker
U0020,folkfan437,28,Prefer not to say,"Cairo, Egypt",retired
U0021,beatmaster745,40,Prefer not to say,Singapore,professional
U0022,rhythmking688,58,Prefer not to say,"Bangkok, Thailand",service industry
U0023,reggaeking696,28,Male,"Mexico City, Mexico",non-profit worker
U0024,hiphopqueen801,46,Male,"Seoul, South Korea",musician
U0025,popfan798,59,Non-binary,"Bangkok, Thailand",education
U0026,electronica34,56,Female,"Kyoto, Japan",retired
U0027,latinlover381,46,Male,"Vancouver, Canada",teacher
U0028,soulseeker376,43,Non-binary,"Milan, Italy",retail
U0029,popfan984,25,Male,"Buenos Aires, Argentina",healthcare worker
U0030,indiefan531,42,Male,"Dubai, UAE",retail
U0031,folkfan457,31,Non-binary,"Melbourne, Australia",creative industry
U0032,harmonyhunter126,26,Male,"Lisbon, Portugal",healthcare worker
U0033,folkfan456,23,Non-binary,Hong Kong,marketing
U0034,folkfan67,53,Non-binary,"Barcelona, Spain",healthcare worker
U0035,folkfan727,62,Female,"Bangkok, Thailand",service industry
U0036,rockstar125,30,Female,"Amsterdam, Netherlands",creative industry
U0037,soundwave370,53,Non-binary,"Brussels, Belgium",freelancer
U0038,basshead627,23,Male,"Barcelona, Spain",education
U0039,folkfan737,48,Prefer not to say,"Sao Paulo, Brazil",entrepreneur
U0040,electronica76,26,Non-binary,"Milan, Italy",musician
U0041,vinylcollector478,61,Non-binary,"Seoul, South Korea",freelancer
U0042,rockon602,29,Female,"Helsinki, Finland",service industry
U0043,melodymaker852,25,Female,"Barcelona, Spain",healthcare worker
U0044,djmixer331,63,Female,"Cairo, Egypt",service industry
U0045,hiphophead867,23,Non-binary,"Shanghai, China",freelancer
U0046,classicalbuff129,58,Non-binary,"Edinburgh, UK",freelancer
U0047,songbird515,59,Female,"Manchester, UK",government employee
U0048,vocalista176,60,Non-binary,"Vancouver, Canada",professional
U0049,soundwave84,20,Non-binary,"Milan, Italy",tech industry
U0050,kpopfanatic586,44,Male,"Chicago, USA",freelancer
U0051,hiphophead658,37,Prefer not to say,"Amsterdam, Netherlands",education
U0052,metalmaniac465,22,Male,"Rio de Janeiro, Brazil",retired
U0053,albumartist496,47,Female,"Athens, Greece",non-profit worker
U0054,vocalista321,63,Non-binary,"Johannesburg, South Africa",marketing
U0055,playlist_pro134,66,Non-binary,"Miami, USA",freelancer
U0056,tunesmith327,33,Prefer not to say,"Toronto, Canada",retail
U0057,vinylcollector254,27,Male,"Tokyo, Japan",finance
U0058,kpopstan885,57,Prefer not to say,"Amsterdam, Netherlands",healthcare worker
U0059,folkie957,54,Non-binary,"Shanghai, China",healthcare worker
U0060,indiefan528,47,Prefer not to say,"Barcelona, Spain",creative industry
U0061,soundwave93,43,Prefer not to say,"Amsterdam, Netherlands",tech industry
U0062,rapfan362,21,Male,"Moscow, Russia",creative industry
U0063,countrygirl904,59,Prefer not to say,"Moscow, Russia",freelancer
U0064,musiclover868,24,Prefer not to say,"Seoul, South Korea",retail
U0065,bluesqueen375,66,Prefer not to say,"Bangkok, Thailand",professional
U0066,playlist_pro53,54,Female,"Bangkok, Thailand",freelancer
U0067,hiphophead76,42,Prefer not to say,"Santiago, Chile",freelancer
